title,my_rating,authors,publisher,publishedDate,pageCount,categories,averageRating,ratingsCount,description,thumbnail,infoLink
Harry Potter and the Order of the Phoenix,4,J. K. Rowling,Bloomsbury Publishing,01-09-2014,815,Fiction,,,"Celebrate 20 years of Harry Potter magic! Dark times have come to Hogwarts. After the Dementors' attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at nothing to find him. There are many who deny the Dark Lord's return, but Harry is not alone: a secret order gathers at Grimmauld Place to fight against the Dark forces. Harry must allow Professor Snape to teach him how to protect himself from Voldemort's savage assaults on his mind. But they are growing stronger by the day and Harry is running out of time.These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON ...",http://books.google.com/books/content?id=p2swDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=p2swDQAAQBAJ&dq=isbn:9781408855690&hl=&source=gbs_api
Harry Potter and the Half-Blood Prince,1,J. K. Rowling,Bloomsbury Publishing,01-01-2014,557,Juvenile Fiction,5,3,"Fantasy. Endnu en gang skal Harry Potter tilbage til troldmandsskolen Hogwart efter at have tilbragt nogle kedelige uger hos sin plejefamilie. Han glæder sig, men han ved heller ikke, hvilke uhyggelige oplevelser han har i vente",http://books.google.com/books/content?id=O2wwDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=O2wwDQAAQBAJ&dq=isbn:9781408855706&hl=&source=gbs_api
Harry Potter and the Deathly Hallows,3.5,J. K. Rowling,Bloomsbury Publishing,01-01-2014,638,Fiction,4.5,2,"Burdened with the dark, dangerous, and seemingly impossible task of locating and destroying Voldemort's remaining Horcruxes, Harry, feeling alone and uncertain about his future, struggles to find the inner strength he needs to follow the path set out before him.",http://books.google.com/books/content?id=I5nHBAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=I5nHBAAAQBAJ&dq=isbn:9781408855713&hl=&source=gbs_api
Harry Potter and the Philosopher's Stone,3.5,J. K. Rowling,Bloomsbury Publishing,01-01-2014,345,Juvenile Fiction,5,1,"Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON .",http://books.google.com/books/content?id=E2swDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=E2swDQAAQBAJ&dq=isbn:9781408855652&hl=&source=gbs_api
The Hidden Oracle,3,Rick Riordan,Puffin Books,2017-05,0,Children's stories,,,"After angering his father Zeus, the god Apollo is cast down from Olympus. He must learn to survive in the modern world until he can somehow find a way to regain Zeus's favor",http://books.google.com/books/content?id=0CsWvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=0CsWvgAACAAJ&dq=isbn:9780141363929&hl=&source=gbs_api
Dark Prophecy,3,Rick Riordan,Puffin Books,30-04-2018,0,Juvenile Fiction,,,"The god Apollo, cast down to earth and trapped in the form of a gawky teenage boy as punishment, must set off on the second of his harrowing (and hilarious) trials. He and his companions seek the ancient oracles, and restoring them is the only way for Apollo to reclaim his place on Mount Olympus - but this is easier said than done. Standing in Apollo's way is the second member of the evil Triumvirate - a Roman emperor with a love of bloodshed and spectacle. To survive the encounter, Apollo will need the help of a now-mortal goddess, a bronze dragon, and some familiar demigod faces from Camp Half-Blood. With them by his side, can Apollo face down the greatest challenge of his four thousand years of existence?",http://books.google.com/books/content?id=jRgrtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=jRgrtAEACAAJ&dq=isbn:9780141363967&hl=&source=gbs_api
The Burning Maze (the Trials of Apollo Book 3),3,Rick Riordan,Puffin Books,27-04-2019,0,Juvenile Fiction,5,1,"I WAS A GOD, ONCE. UNTIL I WAS CAST OUT BY MY FATHER, ZEUS. NOW I'M AN AWKWARD MORTAL TEENAGER CALLED LESTER. My way out? A series of scary and dangerous trials, of course. For my third mission, I must- Journey through the Labyrinth to free an Oracle who only speaks in puzzles. Which sounds easy. Then, defeat the most vicious of three very vicious Roman Emperors. Is that all? No, I have to do everything without any of my godly powers. Wonderful. Looks like I'll need all the help I can get - from new friends, and old . . .",http://books.google.com/books/content?id=BXHPugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=BXHPugEACAAJ&dq=isbn:9780141364018&hl=&source=gbs_api
The Tyrant's Tomb (The Trials of Apollo Book 4),3,Rick Riordan,Puffin Books,18-08-2020,0,Juvenile Fiction,,,"You will get to the Tiber alive. You will start to Jive. The former God Apollo is having a pretty rough time of it. Well, for one thing, he's called Lester. But being an awkward mortal teenager is the least of his worries. Though he and his friends (some of them) have emerged from the Burning Maze, they still have a triumvirate to defeat, oracles to rescue, and prophecies to decipher, so that the world may be saved, and Lester can become Apollo once again. But, right now, Nero, Caligula and Commodus are sailing to San Francisco with a massive army - and an overwhelming desire to destroyCamp Jupiter and everyone in it. Unfortunately, our only chance of salvation lies in the forgotten tomb of another psychotic ruler. You thought the emperors were scary? Wait till you meet the last king of Rome ...",http://books.google.com/books/content?id=Z8cFzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=Z8cFzAEACAAJ&dq=isbn:9780141364056&hl=&source=gbs_api
The Tower of Nero (the Trials of Apollo Book 5),3,Rick Riordan,Puffin Books,2021,0,Juvenile Fiction,,,"It's time to face the final trial . . . The battle for Camp Jupiter is over. New Rome is safe. Tarquin and his army of the undead have been defeated. Somehow Apollo has made it out alive, with a little bit of help from the Hunters of Artemis. But though the battle may have been won, the war is far from over. Now Apollo and Meg must get ready for the final - and, let's face it, probably fatal - adventure. They must face the last emperor, the terrifying Nero, and destroy him once and for all. Can Apollo find his godly form again? Will Meg be able to face up to her troubled past? Destiny awaits . . .",http://books.google.com/books/content?id=bjoozgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=bjoozgEACAAJ&dq=isbn:9780141364094&hl=&source=gbs_api
Scott Pilgrim Vs. the World,4.5,Bryan Lee O'Malley,HarperCollins UK,2010,212,Comics & Graphic Novels,2,1,The second Scott Pilgrim volume!,http://books.google.com/books/content?id=VeWkEXEo_n0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=VeWkEXEo_n0C&dq=isbn:9780007340484&hl=&source=gbs_api
Dark Matter,3.5,Blake Crouch,Pan Books,24-08-2017,416,Fiction,,,"'Brilliant. . . I think Blake Crouch just invented something new.' - Lee ChildFrom Blake Crouch, the author of the bestselling Wayward Pines trilogy, Dark Matter is a New York Times bestselling, relentlessly twisting thriller about how far we'll go to claim the lives we dream of.'Are you happy in your life?'Those are the last words Jason Dessen hears before the masked abductor knocks him unconscious. Before he awakes to find himself strapped to a gurney, surrounded by strangers in hazmat suits. Before the man he's never met smiles down at him and says, 'Welcome back.'In this world he's woken up to, Jason's life is not the one he knows. His wife is not his wife. His son was never born. And Jason is not an ordinary college physics professor, but a celebrated genius who has achieved something remarkable. Something impossible.Is it this world or the other that's the dream? And even if the home he remembers is real, how can Jason possibly make it back to the family he loves? The answers lie in a journey more wondrous and horrifying than anything he could've imagined - one that will force him to confront the darkest parts of himself even as he battles a terrifying, seemingly unbeatable foe.From the author of the bestselling 'Wayward Pines' trilogy, Dark Matter is a brilliantly plotted tale that is at once sweeping and intimate, mind-bendingly strange and profoundly human - a relentlessly surprising thriller about choices, paths not taken, and how far we'll go to claim the lives we dream of.",http://books.google.com/books/content?id=xe9SvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=xe9SvgAACAAJ&dq=isbn:9781447297581&hl=&source=gbs_api
"Chainsaw Man, Vol. 1",4,Tatsuki Fujimoto,VIZ Media LLC,06-10-2020,192,Comics & Graphic Novels,,,"Broke young man + chainsaw dog demon = Chainsaw Man! Denji was a small-time devil hunter just trying to survive in a harsh world. After being killed on a job, Denji is revived by his pet devil-dog Pochita and becomes something new and dangerous—Chainsaw Man! Denji’s a poor young man who’ll do anything for money, even hunting down devils with his pet devil-dog Pochita. He’s a simple man with simple dreams, drowning under a mountain of debt. But his sad life gets turned upside down one day when he’s betrayed by someone he trusts. Now with the power of a devil inside him, Denji’s become a whole new man—Chainsaw Man!",http://books.google.com/books/content?id=gnVVzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=gnVVzQEACAAJ&dq=isbn:9781974709939&hl=&source=gbs_api
Recursion,3,Blake Crouch,Pan Books,09-01-2020,0,Fiction,,,"'My son has been erased, ' the last words a woman tells Barry Sutton, before she leaps from the Manhattan rooftop. What if you could rewrite your life? Memory makes reality. That's what NYC cop Barry Sutton is learning, as he investigates the devastating phenomenon the media has dubbed False Memory Syndrome, a mysterious affliction that drives its victims mad with memories of a life they never lived. That's what neuroscientist Helena Smith believes. It's why she's dedicated her life to creating a technology that will let us preserve our most precious memories. If she succeeds, anyone will be able to re-experience a first kiss, the birth of a child, the final moment with a dying parent. As Barry searches for the truth, he comes face to face with an opponent more terrifying than any disease, a force that attacks not just our minds, but the very fabric of the past. And as its effects begin to unmake the world as we know it, only he and Helena, working together, will stand a chance at defeating it. But how can they make a stand when reality itself is shifting and crumbling all around them?",http://books.google.com/books/content?id=pFt9xgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=pFt9xgEACAAJ&dq=isbn:9781509866670&hl=&source=gbs_api
Dune,3,Frank Herbert,National Geographic Books,01-09-1990,0,Fiction,,,"NOW A MAJOR MOTION PICTURE directed by Denis Villeneuve, starring Timothée Chalamet, Zendaya, Jason Momoa, Rebecca Ferguson, Oscar Isaac, Josh Brolin, Stellan Skarsgård, Dave Bautista, David Dastmalchian, Stephen McKinley Henderson, Chang Chen, Sharon Duncan-Brewster, Charlotte Rampling, and Javier Bardem. Frank Herbert’s classic masterpiece—a triumph of the imagination and one of the bestselling science fiction novels of all time. Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for.... When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream. A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.",http://books.google.com/books/content?id=PaWNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=PaWNEAAAQBAJ&dq=isbn:9780441172719&hl=&source=gbs_api
The World's Favourite Agatha Christie,3,Agatha Christie,,2015,,"Detective and mystery stories,  Classic Literature, Murder",,,"CLASSIC FICTION (PRE C 1945). A boxed set of the three books that have been confirmed in a popular vote as the World's Favourite Agatha Christie novels. In a worldwide poll to mark the Queen of Crime's 125th birthday on 15 September 2015, three books stood out as clear favourites amongst Christie fans past and present. And Then There Were None, Agatha Christie's 1939 standalone novel, was voted the World's Favourite Christie, collecting 21% of more than 15,000 votes cast. The runners up were Murder on the Orient Express with 15% and The Murder of Roger Ackroyd - one of Christie's personal favourites - with nearly 10%. Voters were asked to choose their favourite title from the full Christie canon via www.worldsfavouritechristie.com And Then There Were None was Agatha Christie's most successful book. With over 100 million copies sold worldwide, it is also the bestselling crime novel of all time.",,http://books.google.co.in/books?id=BazgzQEACAAJ&dq=isbn:9780007527502&hl=&source=gbs_api
Sita,3,Amish Tripathi,Westland Publication Limited,2017,0,FICTION,3,2,"In this second book of the series, you will follow Lady Sita's journey from an Adopted Child to the Prime Minister to finding her true calling. She is the warrior we need. The Goddess we await. She will defend Dharma. She will protect us. India, 3400 BCE. India is beset with divisions, resentment, and poverty. The people hate their rulers. They despise their corrupt and selfish elite. Raavan, the demon king of Lanka, grows increasingly powerful, sinking his fangs deeper into the hapless Sapt Sindhu. Two powerful tribes, the protectors of the divine land of India, decide that enough is enough. A savior is needed. They begin their search. An abandoned baby is found in a field. Protected by a vulture from a pack of murderous wolves. She is adopted by the ruler of Mithila, a powerless kingdom, ignored by all. Nobody believes this child will amount to much. But they are wrong. For she is no ordinary girl. She is Sita.",http://books.google.com/books/content?id=GJPjtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=GJPjtAEACAAJ&dq=isbn:9789386224583&hl=&source=gbs_api
Scion of Ikshvaku,2.5,Amish Tripathi,Westland Publication Limited,2015,0,Hindu mythology,,,"3400 BCE. INDIA Ayodhya is weakened by divisions. A terrible war has taken its toll. The damage runs deep. The demon King of Lanka, Raavan, does not impose his rule on the defeated. He, instead, imposes his trade. Money is sucked out of the empire. The Sapt Sindhu people descend into poverty, despondency and corruption. They cry for a leader to lead them out of the morass. Little do they appreciate that the leader is among them. One whom they know. A tortured and ostracised prince. A prince they tried to break. A prince called Ram. He loves his country, even when his countrymen torment him. He stands alone for the law. His band of brothers, his Sita, and he, against the darkness of chaos. Will Ram rise above the taint that others heap on him? Will his love for Sita sustain him through his struggle? Will he defeat the demon Lord Raavan who destroyed his childhood? Will he fulfil the destiny of the Vishnu? Begin an epic journey with Amish's latest: the Ram Chandra Series.",http://books.google.com/books/content?id=SbLrjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=SbLrjgEACAAJ&dq=isbn:9789385152146&hl=&source=gbs_api
Raavan,3.5,Amish Tripathi,Westland Publication Limited,2019,0,FICTION,4.5,2,"WITHOUT THE DARKNESS, LIGHT HAS NO PURPOSE. WITHOUT THE VILLAIN, WHAT WOULD THE GODS DO? INDIA, 3400 BCE. A land in tumult, poverty and chaos. Most people suffer quietly. A few rebel. Some fight for a better world. Some for themselves. Some don't give a damn. Raavan. Fathered by one of the most illustrious sages of the time. Blessed by the Gods with talents beyond all. Cursed by fate to be tested to the extremes. A formidable teenage pirate, he is filled with equal parts courage, cruelty and fearsome resolve. A resolve to be a giant among men, to conquer, plunder, and seize the greatness that he thinks is his right. A man of contrasts, of brutal violence and scholarly knowledge. A man who will love without reward and kill without remorse. This exhilarating third book of the Ram Chandra series sheds light on Ravaan, the king of Lanka. And the light shines on darkness of the darkest kind. Is he the greatest villain in history or just a man in a dark place, all the time? Read the epic tale of one of the most complex, violent, passionate and accomplished men of all time.",http://books.google.com/books/content?id=p4OhxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=p4OhxgEACAAJ&dq=isbn:9789388754088&hl=&source=gbs_api
Immortals of Meluha,3.5,Amish Tripathi,Westland Publication Limited,2010,411,Fiction,5,2,"This is the first book in a trilogy on Shiva, the simple man whose karma re-cast his as our Mahadev, the God of Gods.",http://books.google.com/books/content?id=MlJyAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=MlJyAQAACAAJ&dq=isbn:9789380658742&hl=&source=gbs_api
Secret of The Nagas,3,Amish Tripathi,Westland Publication Limited,2011-05,395,Fiction,5,1,"Today, He is a God. 4000 years ago, He was just a man. The hunt is on. The sinister Naga warrior has killed his friend Brahaspati and now stalks his wife Sati. Shiva, the Tibetan immigrant who is the prophesied destroyer of evil, will not rest till he finds his demonic adversary. His vengeance and the path to evil will lead him to the door of the Nagas, the serpent people. Of that he is certain. The evidence of the malevolent rise of evil is everywhere. A kingdom is dying as it is held to ransom for a miracle drug. A crown prince is murdered. The Vasudevs - Shiva's philosopher guides - betray his unquestioning faith as they take the aid of the dark side. Even the perfect empire, Meluha is riddled with a terrible secret in Maika, the city of births. Unknown to Shiva, a master puppeteer is playing a grand game. In a journey that will take him across the length and breadth of ancient India, Shiva searches for the truth in a land of deadly mysteries - only to find that nothing is what it seems. Fierce battles will be fought. Surprising alliances will be forged. Unbelievable secrets will be revealed in this second book of the Shiva Trilogy, the sequel to the #1 national bestseller, The Immortals of Meluha.",http://books.google.com/books/content?id=0jaXswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=0jaXswEACAAJ&dq=isbn:9789381626344&hl=&source=gbs_api
The Oath of the Vayuputras,3,Amish Tripathi,Westland Publication Limited,2013,575,Fiction,,,"EVIL HAS RISEN. ONLY A GOD CAN STOP iT. Shiva is gathering his forces, he reaches the Naga capital, Panchavati, and Evil is finally revealed. The Neelkanth prepares for a holy war against his true enemy, a man whose name instils dread in the fiercest of warriors. India convulses under the onslaught of a series of brutal battles. it's a war for the very soul of the nation. many will die. But Shiva must not fail, no matter what the cost in his desperation, he reaches out to the ones who have never offered any help to him: the Vayuputras. Will he succeed? And what will be the real cost of battling Evil? To india? And to Shiva's soul? Discover the answer to these mysteries in this concluding part of the bestselling Shiva Trilogy",http://books.google.com/books/content?id=9B8ftAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=9B8ftAEACAAJ&dq=isbn:9789382618348&hl=&source=gbs_api
The Perks of Being a Wallflower,5,Stephen Chbosky,Simon and Schuster,14-08-2012,240,Fiction,4.5,4,Original publication and copyright date: 1999.,http://books.google.com/books/content?id=pK0X5FyUs28C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=pK0X5FyUs28C&dq=isbn:9781451696196&hl=&source=gbs_api
The Hitchhiker's Guide to the Galaxy,4,Douglas Adams,Pan Books,20-11-1995,732,"Science Fiction, Humorous, Action, Adventure, Fiction",5,1,"In one complete volume, here are the five classic novels from Douglas Adams�s beloved Hitchhiker series.

Now celebrating the pivotal 42nd anniversary of The Hitchhiker�s Guide to the Galaxy, soon to be a Hulu original series!

The Hitchhiker�s Guide to the Galaxy (Nominated as one of America�s best-loved novels by PBS�s The Great American Read)
Seconds before the Earth is demolished for a galactic freeway, Arthur Dent is saved by Ford Prefect, a researcher for the revised Guide. Together they stick out their thumbs to the stars and begin a wild journey through time and space.

The Restaurant at the End of the Universe
The moment before annihilation at the hands of warmongers is a curious time to crave tea. It could only happen to the cosmically displaced Arthur Dent and his comrades as they hurtle across the galaxy in a desperate search for a place to eat.

Life, the Universe and Everything
The unhappy inhabitants of planet Krikkit are sick of looking at the night sky� so they plan to destroy it. The universe, that is. Now only five individuals can avert Armageddon: mild-mannered Arthur Dent and his stalwart crew.

So Long, and Thanks for All the Fish
Back on Earth, Arthur Dent is ready to believe that the past eight years were all just a figment of his stressed-out imagination. But a gift-wrapped fishbowl with a cryptic inscription thrusts him back to reality. So to speak.

Mostly Harmless
Just when Arthur Dent makes the terrible mistake of starting to enjoy life, all hell breaks loose. Can he save the Earth from total obliteration? Can he save the Guide from a hostile alien takeover? Can he save his daughter from herself?

Includes the bonus story �Young Zaphod Plays It Safe�",,http://books.google.co.in/books?id=WfxcAgAACAAJ&dq=hitchhiker+guide+to+galaxy&hl=&source=gbs_api
The Complete Sherlock Holmes,3.5,Sir Arthur Conan Doyle,PROJAPOTI,1984,1083,"Detective and mystery stories,  Classic Literature, Murder",4.1,165,"The Adventures of Sherlock Holmes is a collection of twelve short stories by Arthur Conan Doyle, first published on 14 October 1892. It contains the earliest short stories featuring the consulting detective Sherlock Holmes, which had been published in twelve monthly issues of The Strand Magazine from July 1891 to June 1892. The stories are collected in the same sequence, which is not supported by any fictional chronology. The only characters common to all twelve are Holmes and Dr. Watson and all are related in first-person narrative from Watson's point of view.",,http://books.google.co.in/books?id=bFR_vgEACAAJ&dq=isbn:9780600385554&hl=&source=gbs_api
Mysterious Eye of the Dragon (Geronimo Stilton #78),2,Geronimo Stilton,Scholastic Paperbacks,20-07-2021,132,Juvenile Fiction,3,1,"When you're with Geronimo Stilton, it's always a fabumouse adventure! My sister Thea and my cousin Trap were not getting along! When grandfather found them arguing over who would get to join me on a trip to Brazil, he forced us all to go together. My friend Isabela needed my help finding a mysterious emerald. Could Trap and Thea stop shouting their snouts off long enough to help find the stone?",http://books.google.com/books/content?id=ZxYCEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=ZxYCEAAAQBAJ&source=gbs_api
The Metamorphosis (Legend Classics),4,Franz Kafka,Legend Press Ltd,01-06-2017,62,Fiction,,,"One of the seminal works of fiction of the 20th century, The Metamorphosis finds traveling salesman, Gregor Samsa, inexplicably transformed into a large, monstrous insect-like creature.",http://books.google.com/books/content?id=C2_BDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://play.google.com/store/books/details?id=C2_BDgAAQBAJ&source=gbs_api
